"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CAP";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEETURL";"DCR";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"ESR";"FREQUENCY";"HEIGHT";"IDC";"IDSMAX";"IMAX";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MKTG_PACKAGE";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"NSID";"PACKAGE";"POPULARITY";"POWER";"PURCHASE-URL";"QGTYP";"QUANTITY";"RDSON45";"RDSONAT10V";"REFDES";"RESISTANCE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SOURCELIBRARY";"SPICEPREFIX";"TOLERANCE";"TYPE";"VDC";"VDSMAX";"VENDOR";
"4";"10uF 50v";"RCL_C-EUC1206";"RCL_C1206";"C1, C2, C29, C36";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"10µF";"MICROBUILDER_CAP_CERAMIC0603";"MICROBUILDER_0603:1";"C39";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"15nF";"CGA4F2C0G1H153J085AA_CGA4F2C0G1H153J085AA";"CGA4F2C0G1H153J085AA_CAPC2012X100N";"C12, C24";"Capacitor Auto CGA 0805 50V 15nF C0G";"";"";"";"";"";"";"";"";"Capacitor Auto CGA 0805 50V 15nF C0G";"";"";"";"";"";"";"1mm";"";"";"";"";"";"TDK";"CGA4F2C0G1H153J085AA";"";"";"";"810-CGA4F2C0G1H153J";"https://www.mouser.com/Search/Refine.aspx?Keyword=810-CGA4F2C0G1H153J";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9155168";"https://uk.rs-online.com/web/p/products/9155168";"";"";"";"";"";"";"";
"2";"15uF";"12V--LM3150_C2012X5R1V156M125AC";"12V--LM3150_0805:1";"C9, C10";"";"";"";"";"1.5E5";"";"";"httpsproduct.tdk.cominfoencatalogdatasheetsmlcc%5Fcommercial%5Fgeneral%5Fen.pdf";"";"";"";"";"";"";"0.001669";"";"";"";"";"";"5.04984";"";"TDK";"C2012X5R1V156M125AC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35.0";"";"TDK";
"8";"1719740002_1719740002";"1719740002_1719740002";"1719740002_MOLEX_1719740002";"J2, J3, J4, J5, J6, J7, J8, J9";"2.54mm Pitch SL Header, Single Row, Right-Angle, LCP, Shrouded, Through Hole, Matte Tin (Sn) Plating, 2 Circuits";"";"";"";"";"";"";"";"";" Connector Header Through Hole, Right Angle 2 position 0.100 (2.54mm) ";"WM22662-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex";"";"";"";"";"";"";"1719740002";"";"None";"";"";"https://pricing.snapeda.com/search/part/1719740002/?ref=eda";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1K";"MICROBUILDER_RESISTOR0603";"MICROBUILDER_0603:1";"R31, R32, R34, R37";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1K";"RCL_R-US_R0603";"RCL_R0603";"R13, R14, R19, R30, R39";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"2.2uF";"12V--LM3150_EMK212BJ225KG-T:1";"12V--LM3150_0805:1";"C13";"";"";"";"";"2.2E6";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"0.0";"";"Taiyo Yuden";"EMK212BJ225KGT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.0";"";"Taiyo Yuden";
"2";"2.2uF";"12V--LM3150_TPSB475K035R0700";"12V--LM3150_3528-21";"C7, C8";"";"";"";"";"4.7E6";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"0.314";"";"AVX";"TPSB475K035R0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35.0";"";"AVX";
"1";"2.2uF";"5V-LM3150MH_EMK212BJ225KG-T";"5V-LM3150MH_0805";"C25";"";"";"";"";"2.2E6";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"0.0";"";"Taiyo Yuden";"EMK212BJ225KGT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.0";"";"Taiyo Yuden";
