"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CAP";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEETURL";"DCR";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"ESR";"FREQUENCY";"HEIGHT";"IDC";"IDSMAX";"IMAX";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MKTG_PACKAGE";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"NSID";"PACKAGE";"POPULARITY";"POWER";"PURCHASE-URL";"QGTYP";"QUANTITY";"RDSON45";"RDSONAT10V";"REFDES";"RESISTANCE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SOURCELIBRARY";"SPICEPREFIX";"TOLERANCE";"TYPE";"VDC";"VDSMAX";"VENDOR";
"1";"AMASS_XT60PW-M";"AMASS_XT60PW-M";"AMASS_XT60PW-M";"CON7";"AMASS XT60 connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"BSC027N06LS5ATMA1_BSC027N06LS5ATMA1";"BSC027N06LS5ATMA1_BSC027N06LS5ATMA1";"BSC027N06LS5ATMA1_BSC027N06LS5ATMA1";"Q1, Q2";"MOSFET DIFFERENTIATED MOSFETS";"BSC027N06LS5ATMA1";"https://www.arrow.com/en/products/bsc027n06ls5atma1/infineon-technologies-ag";"";"";"";"";"";"";"MOSFET DIFFERENTIATED MOSFETS";"";"";"";"";"";"";"1mm";"";"";"";"";"";"Infineon";"BSC027N06LS5ATMA1";"";"";"";"726-BSC027N06LS5ATMA";"https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC027N06LS5ATMA1?qs=HXFqYaX1Q2z6vEIhZX7Vzw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"DMN67D8LW-13_DMN67D8LW-13";"DMN67D8LW-13_DMN67D8LW-13";"DMN67D8LW-13_DMN67D8LW-13_DIO";"U5, U6, U7, U12";"";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"DMN67D8LW-13DITR-ND";"DMN67D8LW-13DICT-ND";"DMN67D8LW-13DIDKR-ND";"";"";"";"";"";"";"";"";"";"DMN67D8LW-13";"";"Diodes Inc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EEF-CX0J151XR";"5V-LM3150MH_CUSTOM_CAP";"5V-LM3150MH_C2917";"C28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"IXTA96P085T_IXTA96P085T";"IXTA96P085T_IXTA96P085T";"IXTA96P085T_IXTA96P085T";"Q3, Q7, Q8, Q9";"MOSFET -96 Amps -85V 0.013 Rds";"IXTA96P085T";"https://www.arrow.com/en/products/ixta96p085t/ixys";"";"";"";"";"";"";"MOSFET -96 Amps -85V 0.013 Rds";"";"";"";"";"";"";"4.83mm";"";"";"";"";"";"LITTELFUSE";"IXTA96P085T";"";"";"";"747-IXTA96P085T";"https://www.mouser.co.uk/ProductDetail/IXYS/IXTA96P085T?qs=cvHLLyFtoE0pYb9zzr%252BXGQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"LTC4357_LTC4357CMS8TRPBF";"LTC4357_LTC4357CMS8TRPBF";"LTC4357_MSOP-8_MS_LIT";"U3, U8";"";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ltc4357cms8#trpbf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LinearTech_2016_03_08";"";"";"";"";"";"Linear Technology";
"1";"MCP1792T-5002H_MCP1792T-5002H/CB";"MCP1792T-5002H_MCP1792T-5002H/CB";"MCP1792T-5002H_SOT-23A_CB_MCH";"U13";"";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"MCP1792T-5002H/CBTR-ND";"MCP1792T-5002H/CBCT-ND";"MCP1792T-5002H/CBDKR-ND";"";"";"";"";"";"";"";"";"";"MCP1792T-5002H/CB";"";"Microchip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"PCR1H820MCL1GS_PCR1H820MCL1GS";"PCR1H820MCL1GS_PCR1H820MCL1GS";"PCR1H820MCL1GS_CAP_PC_10X8_NCH";"C4, C5, C6, C17, C18, C19";"";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"493-13771-1-ND";"493-13771-2-ND";"493-13771-6-ND";"";"";"";"";"";"";"";"";"";"PCR1H820MCL1GS";"";"Nichicon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PJ-002A_PJ-002A";"PJ-002A_PJ-002A";"PJ-002A_CUI_PJ-002A";"J1";"2.0 mm Center Pin, 2.5 A, Right Angle, Through Hole, Dc Power Jack Connector";"";"";"";"";"";"https://www.cuidevices.com/product/interconnect/connectors/dc-power-connectors/jacks/pj-002a?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"";"";" 2.0 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Dc Power Jack Connector ";"CP-002A-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"CUI Devices";"";"";"";"";"";"";"PJ-002A";"";"None";"";"";"https://pricing.snapeda.com/search/part/PJ-002A/?ref=eda";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SM02B-GHS-TB_SM02BGHSTBLFSN";"SM02B-GHS-TB_SM02BGHSTBLFSN";"SM02B-GHS-TB_CONN_SM02BGHSTB_JST";"J10";"";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"455-1564-2-ND";"455-1564-1-ND";"455-1564-6-ND";"";"";"";"";"";"";"";"";"";"SM02BGHSTBLFSN";"";"JST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SPARKFUN-JUMPERS_JUMPER-SMT_2_NC_PASTE_NO-SILK";"SPARKFUN-JUMPERS_JUMPER-SMT_2_NC_PASTE_NO-SILK";"SPARKFUN-JUMPERS_SMT-JUMPER_2_NC_PASTE_NO-SILK";"JP2";"Normally closed solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"STPS1150A_STPS1150A";"STPS1150A_STPS1150A";"STPS1150A_SMA_STM";"CR1, CR2";"";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"STPS1150A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Update_to_database_2020-11-24";"";"";"";"";"";"STMicroelectronics";
"4";"TLV6713DDC_TLV6713DDCTDDC0006A_M";"TLV6713DDC_TLV6713DDCTDDC0006A_M";"TLV6713DDC_DDC0006A_M";"U9, U10, U11, U14";"";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"296-49090-1-ND";"296-49090-2-ND";"296-49090-6-ND";"";"";"";"";"";"";"";"";"";"TLV6713DDCT";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RefDes";"";"";"";"";"";"";"TYPE";"";"";"";
